CH4,C2H4,C2H2,FAULT
353.1502,2.6849,0.8996,PD
4604.3226,68.5075,12.1811,PD
3624.822,29.3523,31.3691,PD
3808.2018,2.694,8.1251,PD
1289.4771,6.8679,3.9554,PD
3575.0737,15.4554,52.1257,PD
3563.4157,18.278,40.5576,PD
5179.1109,34.4833,48.6113,PD
4035.6012,1.9063,48.0916,PD
3947.1948,0.7731,4.7761,PD
417.2845,0.5538,5.7031,PD
1062.2728,1.1176,10.288,PD
3573.2629,47.825,4.2963,PD
1588.9745,4.8058,17.763,PD
3351.9879,8.92,59.0191,PD
3829.0069,56.8432,2.451,PD
2202.936,24.5521,3.5542,PD
524.4399,2.6038,2.555,PD
4095.6604,41.8314,3.7302,PD
2135.6076,10.3942,12.5256,PD
4225.8748,11.5219,48.7796,PD
2205.1582,45.2345,3.1243,PD
1010.291,10.7583,0.1644,PD
2540.4886,7.9046,31.1258,PD
40.4955,0.5108,0.2,PD
3407.5408,64.7991,0.0901,PD
2261.8902,21.8611,12.1404,PD
4468.6687,46.908,34.1745,PD
2765.5954,47.8077,4.0763,PD
4100.1281,8.6037,24.5043,PD
1060.6883,4.8583,1.4418,PD
4535.8681,12.9561,49.757,PD
3598.3545,2.9116,10.0272,PD
437.487,6.1076,3.056,PD
4507.8573,53.3718,25.5775,PD
2385.7917,27.1961,10.6676,PD
3224.5353,3.5424,42.7147,PD
217.2509,2.803,1.4966,PD
905.5348,1.3113,3.7515,PD
1440.0046,14.8349,6.776,PD
1059.7288,4.2631,2.817,PD
2556.2126,4.2202,25.9755,PD
1164.7924,0.4695,6.5371,PD
4287.0339,39.7217,23.4947,PD
4343.223,49.3533,30.2283,PD
3687.1132,63.7379,1.9977,PD
435.8037,0.5613,4.5349,PD
3807.4815,10.3122,9.0984,PD
4944.1281,5.878,15.3006,PD
2745.4417,38.6005,13.563,PD
3155.9075,61.5237,1.866,PD
1154.872,7.5764,6.2404,PD
507.7293,1.1547,5.7725,PD
392.583,4.4276,1.1934,PD
825.0663,16.2921,1.2841,PD
2971.0778,50.5152,5.1227,PD
481.492,7.9452,1.6701,PD
1100.2223,3.0107,7.0964,PD
3327.9029,17.6848,18.0385,PD
439.1004,0.2024,2.4045,PD
460.3819,1.3997,6.5237,PD
1300.8513,3.7093,11.3657,PD
1712.2863,23.1791,3.0003,PD
3961.835,10.9682,72.883,PD
2185.013,1.7273,43.5252,PD
4039.5565,4.2343,67.7317,PD
5204.5147,69.2873,16.0003,PD
1878.3557,33.3326,2.5155,PD
3940.5503,1.6921,67.8555,PD
3035.5364,21.4475,9.3186,PD
1428.069,14.3586,2.8623,PD
2787.7631,8.2444,27.9211,PD
212.0792,1.037,2.705,PD
3888.0696,69.9786,1.6523,PD
4030.6,60.5086,8.459,PD
2097.283,27.4421,10.7402,PD
2375.8598,0.1829,16.7571,PD
4695.9905,1.882,44.0802,PD
571.3867,2.3064,8.1025,PD
864.6873,7.0768,5.9521,PD
824.458,1.623,6.7257,PD
1306.8455,7.7062,19.157,PD
4593.9038,70.6993,0.7474,PD
1811.3954,15.6279,15.9228,PD
2605.4457,18.7059,5.1379,PD
1378.6232,9.5629,19.6913,PD
190.0838,0.8456,1.3745,PD
2752.9829,35.1007,12.2365,PD
4375.1575,6.7519,66.5187,PD
1838.4374,10.0554,3.331,PD
1545.9268,5.9119,8.1499,PD
1818.1428,2.3728,35.0997,PD
2064.7973,1.6266,8.1638,PD
2882.3735,33.2199,11.7018,PD
449.5826,0.9894,6.7558,PD
1691.1455,11.2582,0.4684,PD
3333.4162,32.7949,16.9499,PD
3934.3119,40.2417,14.2675,PD
4719.6913,37.0109,31.9335,PD
5012.2969,24.7421,17.09,PD
3666.6802,46.0253,9.4328,PD
4156.2737,55.7087,3.0394,PD
3360.6948,43.5875,1.3732,PD
3512.4097,26.8004,10.9302,PD
2810.5364,33.6808,15.3371,PD
534.0152,7.2722,1.2977,PD
1038.4213,0.0279,9.8503,PD
4485.3219,33.7167,19.9155,PD
453.5265,5.6586,1.2832,PD
4746.5782,13.7932,21.3912,PD
1524.4288,4.3896,1.1957,PD
1749.5893,21.1472,6.4887,PD
3182.6011,55.2403,7.4482,PD
4069.1212,9.1904,46.5049,PD
3584.0811,25.3666,1.8575,PD
1875.1282,34.2746,4.5198,PD
2658.998,24.5399,18.1876,PD
3294.3649,5.4026,23.6238,PD
4420.0242,50.8068,12.419,PD
4446.9091,34.4164,23.9074,PD
2386.6686,13.0416,11.4311,PD
2527.1849,18.0944,5.8331,PD
466.0454,5.263,0.0015,PD
3558.734,26.6203,12.9116,PD
2388.2653,12.2776,27.5732,PD
1772.413,23.8718,7.3458,PD
221.6811,0.7682,3.4642,PD
2860.2301,43.6744,6.43,PD
3304.6773,4.6935,59.8819,PD
3465.7125,33.9406,29.689,PD
4876.0447,47.2112,4.5496,PD
626.844,2.8203,10.0876,PD
5150.8709,31.8221,36.3144,PD
2113.6392,16.6193,5.3429,PD
2975.6261,32.4312,12.9002,PD
562.2337,6.2272,3.8202,PD
3877.124,33.1317,32.979,PD
3495.1173,41.3501,14.4075,PD
3485.7893,42.7846,20.5308,PD
1274.1822,14.416,0.3472,PD
4570.5527,19.6923,77.0361,PD
2509.6967,5.0933,9.0283,PD
3327.001,6.0204,22.8126,PD
2439.3591,13.6755,34.0151,PD
856.0356,3.8593,4.0254,PD
1050.3055,10.6445,2.0025,PD
4843.7213,28.2372,63.5292,PD
4727.116,35.6259,27.0293,PD
4231.4706,38.1472,4.2226,PD
342.1339,3.7556,0.0522,PD
2754.2817,21.58,5.8448,PD
2202.6663,28.8058,6.5727,PD
1259.756,12.2456,5.8583,PD
3167.2009,13.4382,40.9877,PD
3764.4145,19.432,6.7944,PD
668.448,2.9986,7.4216,PD
565.8862,3.5029,6.979,PD
3204.0437,8.4105,25.4918,PD
940.9743,14.2582,3.756,PD
1339.257,5.0951,16.6336,PD
657.2653,3.914,4.3819,PD
1532.3828,4.4208,18.5153,PD
32.3786,0.0666,0.3034,PD
693.4591,0.2318,11.3607,PD
2592.7186,11.5774,17.8025,PD
2547.2986,45.1847,7.0418,PD
2346.2536,3.4022,0.9324,PD
4889.5037,29.1811,53.1127,PD
2291.7416,26.9226,13.5586,PD
4812.9415,36.3717,17.6392,PD
1085.1484,6.2332,7.742,PD
256.6813,1.1387,2.2696,PD
3942.6391,8.9622,65.6764,PD
3388.0408,30.8887,23.4187,PD
2981.8498,14.0123,27.6072,PD
1869.2128,4.0295,6.5009,PD
989.409,5.4137,9.3878,PD
104.6517,0.6705,1.1199,PD
280.5033,82.8371,118.1851,D1
130.7916,119.0604,344.3048,D1
97.9651,252.6948,3455.9238,D1
878.4215,5.2405,2779.8866,D1
2100.5055,734.7626,1406.8577,D1
101.5667,111.9851,389.7901,D1
431.6437,12.1433,368.0613,D1
681.1638,106.5359,612.0371,D1
429.1534,394.6811,989.4919,D1
320.407,107.1647,2975.5016,D1
1429.185,208.1991,1106.8145,D1
1681.6171,54.1737,314.9897,D1
1087.3316,635.7547,3042.9828,D1
384.6331,149.9986,261.0327,D1
1235.4895,41.9544,306.1257,D1
102.1604,396.3957,2435.1159,D1
558.7492,448.8887,3845.086,D1
2456.6587,301.9903,760.251,D1
1956.0066,519.1183,2014.4663,D1
1901.7194,8.4274,1147.6106,D1
671.6967,257.0828,2014.0009,D1
919.7626,72.1777,1432.9383,D1
1206.122,550.2731,1214.08,D1
428.992,48.0108,178.1623,D1
1315.5691,93.8126,779.5435,D1
646.1277,115.4696,1309.4029,D1
872.2926,197.2063,733.2192,D1
1126.2862,571.9017,1972.3281,D1
1844.6981,140.3922,1238.2924,D1
2834.9181,355.0815,564.1463,D1
3479.1842,117.4032,801.7752,D1
2290.0563,244.0572,833.7424,D1
1088.7984,411.3386,776.0427,D1
857.9646,173.0508,2209.4716,D1
1555.321,51.6695,1142.6927,D1
6.5388,0.1197,4.0197,D1
542.2635,124.6485,441.5415,D1
333.8225,110.6584,382.8491,D1
60.3104,531.0103,2993.7022,D1
350.0944,106.0209,842.7961,D1
1012.4561,81.0294,283.6707,D1
2359.3851,208.8086,1678.8048,D1
2334.4993,775.2104,1175.3591,D1
1628.1425,104.8989,1298.9961,D1
806.3642,153.442,352.415,D1
608.0048,3.6044,1129.6972,D1
85.4722,28.4727,546.2599,D1
216.2538,149.0445,1785.6539,D1
630.4273,107.7916,718.1367,D1
1004.6888,90.482,648.6481,D1
3400.0421,385.6001,649.0896,D1
533.6058,247.9289,1173.5797,D1
1180.6961,633.8304,1226.1089,D1
1687.6624,656.666,619.9291,D1
1792.2952,232.8159,1481.6208,D1
1252.6585,564.5908,737.1606,D1
1372.5646,25.2662,623.9238,D1
807.5854,139.0487,676.6702,D1
554.6525,395.626,1986.1185,D1
1766.2777,270.81,1732.8664,D1
2404.29,309.0185,1424.6017,D1
1292.1937,119.9642,294.4274,D1
173.4437,636.2408,2928.6717,D1
1106.2915,565.1695,2971.5186,D1
17.4364,6.3841,42.486,D1
2614.1376,360.9214,646.4579,D1
709.6753,248.0216,439.1728,D1
1609.8049,431.7965,482.9576,D1
1087.6118,317.2125,1878.3412,D1
2656.2436,432.701,698.3343,D1
537.0494,328.6399,805.0368,D1
138.4994,40.0377,58.8769,D1
43.6205,28.018,531.6029,D1
2.8684,8.9151,65.7113,D1
1223.261,541.7455,835.1137,D1
47.0813,41.8501,180.2584,D1
808.7922,281.1511,809.4485,D1
706.152,804.6655,2740.753,D1
361.3023,144.1511,267.7815,D1
286.4517,70.0043,829.9871,D1
340.2401,153.1301,229.9901,D1
2802.3354,1076.5543,1318.4458,D1
284.0433,632.7033,2878.7697,D1
250.1099,196.606,850.6544,D1
1151.6388,764.0527,1549.6245,D1
1343.7844,919.1711,1845.488,D1
1010.3557,289.3692,876.9187,D1
567.1244,412.8942,1706.7896,D1
1531.8448,417.4642,1780.7389,D1
2133.6254,353.411,1664.6728,D1
34.7156,144.7991,478.135,D1
237.7455,14.3392,786.634,D1
83.0663,514.24,2934.2744,D1
2032.851,165.878,1817.641,D1
1923.6974,377.1418,1441.4666,D1
650.6539,244.3564,1072.8637,D1
879.3734,81.4491,1763.3509,D1
447.2321,802.8496,2762.477,D1
1927.906,526.2201,973.4903,D1
964.4381,8.0493,863.572,D1
2179.3352,357.9545,862.1865,D1
127.2882,66.0205,396.6395,D1
724.148,27.5688,1733.2426,D1
1425.727,213.4893,1123.4312,D1
2305.4281,623.9676,473.1312,D1
1942.8213,122.6265,1460.3049,D1
1742.3969,743.8149,1042.5589,D1
1218.9576,448.1852,1443.287,D1
1417.2538,316.5377,324.3644,D1
2686.0285,491.7325,885.8757,D1
2453.9457,891.5249,1424.9946,D1
31.1876,154.851,3183.3738,D1
8.1631,5.194,18.0992,D1
1042.457,696.1794,1128.8765,D1
2228.0613,427.5755,436.0969,D1
2154.6522,384.0253,831.087,D1
806.2295,420.4182,970.9746,D1
1598.9429,75.6724,383.6326,D1
316.8802,504.7077,2356.0289,D1
1363.0373,662.9244,2722.2206,D1
53.281,113.5583,2256.147,D1
611.7016,178.1194,398.2747,D1
705.3533,92.7752,3587.9993,D1
441.4247,32.8689,2228.8144,D1
2109.5084,267.6939,1718.1908,D1
243.9893,217.375,766.9511,D1
1009.4858,311.4238,1725.2124,D1
164.7009,218.7357,1422.8886,D1
160.0369,263.5308,3843.8957,D1
3969.624,211.3973,653.7698,D1
24.1291,113.0258,1015.0859,D1
1382.311,121.1483,1198.3067,D1
70.0009,3.7609,16.8342,D1
803.1448,400.4707,1110.6748,D1
627.5585,195.5259,941.4926,D1
1111.9124,286.3294,1347.8364,D1
101.8226,84.5788,213.0634,D1
607.8421,597.4136,1364.0113,D1
3338.2231,687.2622,749.3629,D1
3921.1496,356.2511,836.5935,D1
441.8252,345.6959,1066.1691,D1
416.0669,1160.3222,3460.7913,D1
292.0594,33.4587,189.2534,D1
388.5397,265.7835,2335.3721,D1
9.0092,0.5389,58.9686,D1
378.0123,46.0755,74.3982,D1
94.5357,259.2438,957.5764,D1
2856.2961,215.2624,702.4989,D1
1955.381,125.1701,2586.9243,D1
27.8358,101.3571,379.5373,D1
93.7331,319.46,959.9854,D1
1810.6922,353.9988,2164.2689,D1
137.5751,122.2888,587.6413,D1
162.4089,85.7113,180.7812,D1
108.0717,35.6177,181.1886,D1
320.8822,374.0494,1540.6736,D1
1300.2266,732.7419,2332.377,D1
1217.8197,111.9018,253.6523,D1
293.0516,289.4372,2224.8961,D1
1607.5278,492.0219,2500.0552,D1
296.7108,382.619,2789.5394,D1
249.5118,208.1699,638.3438,D1
1655.0535,632.2183,917.8442,D1
2036.3576,349.6389,1760.211,D1
142.1805,134.8294,330.045,D1
1989.8322,328.49,997.573,D1
322.6331,57.6585,347.0625,D1
2265.1431,182.3136,880.636,D1
994.8308,311.5953,503.3101,D1
233.4758,76.9661,530.4251,D1
178.8692,102.1248,1015.9433,D1
9.5631,20.1916,108.9978,D1
1557.0315,5.2047,1799.513,D1
1383.4171,386.3113,340.6522,D1
39.7007,40.5189,313.4776,D1
235.7098,984.0532,3244.6643,D1
1543.6708,360.9991,753.1419,D1
1837.4898,246.0079,1203.8464,D1
240.2195,24.5263,367.9816,D1
81.5103,108.0967,4095.2184,D1
2530.7375,1045.4805,840.9543,D1
492.1076,20.0355,936.6951,D1
133.4495,70.6616,133.2396,D1
592.2153,293.535,852.4624,D1
260.4945,35.8015,2013.9758,D1
147.9736,65.5717,534.5149,D1
1326.7294,70.4208,1311.4234,D1
314.3056,3.7594,382.237,D1
2456.8077,642.7747,1702.1139,D1
54.0877,7.4058,634.2887,D1
2586.7738,82.5907,610.8228,D1
1890.7988,396.3521,376.8327,D1
817.5968,336.4604,508.5578,D1
2538.3537,561.56,1066.7612,D1
1438.6777,993.0101,2688.644,D1
99.3141,42.2407,550.3461,D1
47.7956,14.6779,82.3444,D1
1408.505,49.9954,1852.161,D1
621.3467,454.6241,1793.051,D1
1351.4415,124.3602,2588.7276,D1
1555.5443,185.3184,1057.0403,D1
2760.9308,238.1034,840.9373,D1
95.7155,39.8259,328.104,D1
1000.8777,317.7964,1034.0787,D1
1003.9944,149.2825,1626.1546,D1
2348.5949,56.6515,1897.2802,D1
308.5748,5.17,91.2489,D1
23.8367,22.4763,175.6353,D1
2441.1808,385.3281,669.0773,D1
1582.934,292.076,684.0157,D1
939.0726,727.9811,1256.8467,D1
526.119,30.3912,535.2462,D1
540.6973,14.2156,156.9383,D1
1954.5987,957.5271,1893.8567,D1
1247.0434,460.57,458.6391,D1
322.2317,195.5187,859.1109,D1
638.477,15.3345,742.2411,D1
206.1826,0.1008,429.4242,D1
3073.4241,77.5463,703.9545,D1
375.3309,209.9555,737.6776,D1
979.4521,129.5491,768.9994,D1
188.7452,118.6392,356.0354,D1
734.1851,287.4529,2552.611,D1
1122.2539,273.7588,1138.6783,D1
1653.5425,148.2225,1463.0145,D1
58.515,2.2451,48.5835,D1
1481.528,101.9058,1383.9363,D1
816.5647,415.5123,1019.7913,D1
233.9924,357.0961,847.3266,D1
2109.2014,655.8193,1304.2578,D1
394.0925,3.3156,600.257,D1
166.5512,249.0951,674.2016,D1
433.966,7.4658,1743.7356,D1
474.2655,100.2309,194.6765,D1
198.8824,85.26,293.1709,D1
830.6072,23.8143,1275.5265,D1
132.7943,148.2861,623.005,D1
2.6062,178.2585,1742.2064,D1
24.1661,150.3457,578.1756,D1
2692.1295,317.9907,937.0881,D1
546.2081,148.6679,217.0065,D1
669.8578,202.362,1033.5472,D1
577.5512,860.126,3183.8666,D1
2022.576,852.8138,1796.9849,D1
41.7308,198.6876,1837.7197,D1
2720.1553,397.5033,911.6959,D1
420.2011,992.6031,2764.9985,D1
165.5522,549.3371,4196.8894,D1
405.9018,55.7576,3666.802,D1
213.5211,266.6767,1793.2493,D1
121.6058,1.7529,547.0085,D1
354.1373,553.7418,3266.2523,D1
66.6478,101.6206,876.4748,D1
